RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31
394358,20,"Baltimore, MD",Msa,MD,309900.0,299900.0,299900.0,299900.0,315000.0,325000.0,339900.0,349000.0,349000.0,339900.0,337000.0,330000.0,320000.0,310000.0,310000.0,315000.0,325000.0,344900.0,350000.0,351075.0,351075.0,349900.0,339900.0,335000.0,329000.0,319900.0,319900.0,329900.0,340000.0,348430.0,355000.0,364990.0,369000.0,360000.0,354900.0,354900.0,343000.0,339900.0,339000.0,350000.0,365000.0,369899.0,379000.0,375000.0,369999.0,359000.0,355000.0,345500.0,340000.0,335000.0,329900.0,329500.0,350000.0
394530,21,"Denver, CO",Msa,CO,519900.0,548031.0,555000.0,560000.0,557663.0,549950.0,535000.0,524000.0,500000.0,495000.0,487000.0,479000.0,474999.0,479000.0,490000.0,506245.0,525000.0,525000.0,520000.0,520000.0,509900.0,499900.0,498900.0,495000.0,499900.0,505465.0,525000.0,549900.0,550000.0,535000.0,539990.0,550000.0,551725.0,550000.0,531900.0,516280.0,515990.0,526900.0,535000.0,550000.0,561990.0,585000.0,599999.0,610000.0,610000.0,610500.0,615000.0,619000.0,625000.0,634950.0,636605.0,650000.0,675000.0
394982,22,"Pittsburgh, PA",Msa,PA,174900.0,169900.0,169900.0,169900.0,179900.0,182000.0,187000.0,185000.0,179900.0,179900.0,179900.0,175000.0,172900.0,169998.0,169900.0,172500.0,182500.0,189900.0,195000.0,199500.0,199900.0,199000.0,197000.0,189900.0,185000.0,180000.0,184900.0,192100.0,199900.0,199900.0,214900.0,229900.0,237900.0,234000.0,230000.0,239000.0,234900.0,230000.0,239000.0,245000.0,249900.0,264900.0,259900.0,249999.0,239000.0,229900.0,229000.0,225000.0,219900.0,213000.0,209900.0,210000.0,215000.0
394998,23,"Portland, OR",Msa,OR,459672.0,464414.0,465382.0,479027.0,483817.0,483817.0,483865.0,483769.0,474091.0,464414.0,459575.0,454737.0,454737.0,454737.0,459624.0,464414.0,474177.0,476559.0,477091.0,477091.0,469349.0,464510.0,459672.0,458704.0,454833.0,459672.0,467414.0,479511.0,479027.0,464511.0,479027.0,486512.0,498285.0,493543.0,498381.0,507962.0,519671.0,527413.0,529500.0,535000.0,550000.0,575000.0,595000.0,599000.0,590000.0,579900.0,576000.0,573950.0,574950.0,577900.0,593900.0,596401.0,599900.0
394458,24,"Charlotte, NC",Msa,NC,328843.0,324973.0,327972.0,328939.0,338605.0,347321.0,348095.0,345815.0,338566.0,328939.0,325070.0,319265.0,316314.0,314331.0,314427.0,324102.0,333777.0,338614.0,348192.0,347294.0,338614.0,336679.0,331745.0,330874.0,328939.0,333122.0,332809.0,338614.0,347321.0,338517.0,351917.0,362801.0,371024.0,368205.0,368642.0,369990.0,370000.0,370003.0,369520.0,375500.0,387900.0,399990.0,408990.0,409900.0,407759.0,400900.0,405000.0,415000.0,410000.0,405000.0,407400.0,401000.0,411990.0
395045,25,"Sacramento, CA",Msa,CA,459900.0,460000.0,466000.0,475126.0,485950.0,494500.0,495000.0,485000.0,479000.0,475000.0,460000.0,459000.0,453000.0,454900.0,464950.0,478000.0,498634.0,499900.0,509900.0,524000.0,520000.0,519000.0,509900.0,499990.0,499950.0,513010.0,519000.0,527500.0,530000.0,519900.0,525000.0,539000.0,549000.0,555000.0,574900.0,572950.0,579950.0,589000.0,590000.0,584950.0,574990.0,599999.0,615000.0,619000.0,625000.0,607900.0,614900.0,620000.0,620000.0,635000.0,649000.0,650000.0,657162.0
395055,26,"San Antonio, TX",Msa,TX,279900.0,280000.0,279999.0,280000.0,289000.0,296970.0,299284.0,299000.0,295000.0,287000.0,283900.0,280000.0,280400.0,282000.0,279999.0,279900.0,285000.0,290000.0,295000.0,294435.0,289900.0,285000.0,284900.0,279990.0,279000.0,277999.0,278900.0,280000.0,289000.0,289500.0,292000.0,299900.0,300000.0,299900.0,299000.0,295000.0,289999.0,289000.0,289000.0,294900.0,300000.0,307415.0,311490.0,330000.0,347500.0,348999.0,347900.0,347509.0,340000.0,344499.0,350000.0,366990.0,374990.0
394943,27,"Orlando, FL",Msa,FL,299900.0,299900.0,299900.0,309000.0,319000.0,325000.0,325000.0,325000.0,324900.0,319900.0,315000.0,309900.0,300000.0,299940.0,299900.0,300000.0,310490.0,320000.0,325000.0,325000.0,325000.0,325000.0,326880.0,325000.0,325000.0,325000.0,324900.0,329900.0,330900.0,316270.0,320000.0,325990.0,330000.0,330000.0,332590.0,334900.0,332500.0,330000.0,327990.0,329000.0,337310.0,347775.0,352990.0,370000.0,379900.0,385000.0,389999.0,399800.0,398990.0,399900.0,409900.0,422900.0,443990.0
394466,28,"Cincinnati, OH",Msa,OH,224900.0,215000.0,215000.0,229900.0,249900.0,265000.0,269900.0,267900.0,259900.0,249900.0,245000.0,240000.0,238990.0,229900.0,229900.0,250000.0,269900.0,279000.0,289500.0,288270.0,285000.0,279000.0,272000.0,265000.0,259900.0,259000.0,264900.0,284900.0,299900.0,302000.0,325000.0,339000.0,335000.0,328500.0,319000.0,314900.0,305900.0,312900.0,318000.0,333100.0,347890.0,359990.0,375000.0,363400.0,345000.0,334900.0,329900.0,329900.0,329715.0,333490.0,349900.0,359990.0,365000.0
394475,29,"Cleveland, OH",Msa,OH,164900.0,159900.0,159900.0,164900.0,169900.0,179500.0,179900.0,185308.0,185000.0,179900.0,179900.0,179800.0,175000.0,174900.0,174500.0,179900.0,184995.0,191312.0,199500.0,199900.0,199000.0,189900.0,189900.0,185000.0,179900.0,179900.0,179900.0,182000.0,195000.0,199000.0,209900.0,219900.0,225000.0,218000.0,199900.0,199900.0,190000.0,189000.0,195000.0,214490.0,229900.0,244900.0,239900.0,229000.0,224000.0,209900.0,199900.0,194900.0,195900.0,190000.0,184900.0,174900.0,179900.0
